model,batch_size,memory_traffic_mb,memory_traffic_gb,arithmetic_intensity
ResNet18,32,758.0631408691406,0.7402960360050201,219.6920601284699
ResNet18,64,1471.5343322753906,1.4370452463626862,226.3493952838781
ResNet18,128,2898.4767150878906,2.830543667078018,229.83169367286084
ResNet18,256,5752.361480712891,5.617540508508682,231.61333470908457
ResNet50,32,1657.3697814941406,1.6185251772403717,227.11903098091497
ResNet50,64,3217.2472229003906,3.1418429911136627,234.0014258591245
ResNet50,128,6337.002105712891,6.188478618860245,237.60144779541875
ResNet50,256,12576.51187133789,12.281749874353409,239.44331948375532
MobileNetV2,32,227.29043579101562,0.2219633162021637,126.55723038572324
MobileNetV2,64,441.2108459472656,0.4308699667453766,130.3922979731694
MobileNetV2,128,869.0516662597656,0.8486832678318024,132.39833332660277
MobileNetV2,256,1724.7333068847656,1.684309870004654,133.42467699580124
