env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp
envA,cuda,resnet50,128,0,1291.49,99.11,1763167780.001292
envA,cuda,resnet50,128,1,441.86,289.69,1763167781.3279607
envA,cuda,resnet50,128,2,1311.13,97.63,1763167782.6394901
envA,cuda,resnet50,128,3,1325.23,96.59,1763167783.965094
envA,cuda,resnet50,128,4,1336.17,95.80,1763167785.301651
envA,cuda,resnet50,128,5,1338.26,95.65,1763167786.6403005
envA,cuda,resnet50,128,6,1343.57,95.27,1763167787.9842844
envA,cuda,resnet50,128,7,1368.42,93.54,1763167789.3531296
envA,cuda,resnet50,128,8,1359.53,94.15,1763167790.7130897
envA,cuda,resnet50,128,9,1360.85,94.06,1763167792.074223
envA,cuda,resnet50,128,10,1362.39,93.95,1763167793.436938
envA,cuda,resnet50,128,11,452.03,283.17,1763167794.8121448
envA,cuda,resnet50,128,12,1372.90,93.23,1763167796.185319
envA,cuda,resnet50,128,13,1368.35,93.54,1763167797.554093
envA,cuda,resnet50,128,14,1361.16,94.04,1763167798.9156814
envA,cuda,resnet50,128,15,1350.15,94.80,1763167800.26621
envA,cuda,resnet50,128,16,1342.16,95.37,1763167801.6087568
envA,cuda,resnet50,128,17,1340.84,95.46,1763167802.9499786
envA,cuda,resnet50,128,18,1335.55,95.84,1763167804.2858107
envA,cuda,resnet50,128,19,1329.83,96.25,1763167805.6160574
envA,cuda,resnet50,128,20,1341.54,95.41,1763167806.9579935
envA,cuda,resnet50,128,21,434.92,294.31,1763167808.2855635
envA,cuda,resnet50,128,22,1312.52,97.52,1763167809.599233
envA,cuda,resnet50,128,23,1326.82,96.47,1763167810.9265122
envA,cuda,resnet50,128,24,1320.20,96.95,1763167812.247521
envA,cuda,resnet50,128,25,1311.42,97.60,1763167813.5593288
envA,cuda,resnet50,128,26,1325.29,96.58,1763167814.8850272
envA,cuda,resnet50,128,27,1291.52,99.11,1763167816.1768935
envA,cuda,resnet50,128,28,1310.97,97.64,1763167817.4881768
envA,cuda,resnet50,128,29,1300.07,98.46,1763167818.788952
envA,cuda,resnet50,128,30,1288.43,99.35,1763167820.0777738
envA,cuda,resnet50,128,31,429.63,297.93,1763167821.3791924
envA,cuda,resnet50,128,32,1285.56,99.57,1763167822.6672146
envA,cuda,resnet50,128,33,1292.44,99.04,1763167823.9600356
envA,cuda,resnet50,128,34,1277.71,100.18,1763167825.2381172
envA,cuda,resnet50,128,35,1273.89,100.48,1763167826.5124276
envA,cuda,resnet50,128,36,1281.23,99.90,1763167827.7941873
envA,cuda,resnet50,128,37,1267.83,100.96,1763167829.0622969
envA,cuda,resnet50,128,38,1272.58,100.58,1763167830.3372293
envA,cuda,resnet50,128,39,1267.66,100.97,1763167831.6052368
envA,cuda,resnet50,128,40,1274.81,100.41,1763167832.8804765
envA,cuda,resnet50,128,41,429.68,297.90,1763167834.1608658
envA,cuda,resnet50,128,42,1267.11,101.02,1763167835.4282603
envA,cuda,resnet50,128,43,1274.91,100.40,1763167836.7036054
envA,cuda,resnet50,128,44,1273.05,100.55,1763167837.977087
envA,cuda,resnet50,128,45,1277.46,100.20,1763167839.2549214
envA,cuda,resnet50,128,46,1273.45,100.51,1763167840.5287728
envA,cuda,resnet50,128,47,1273.33,100.52,1763167841.8025033
envA,cuda,resnet50,128,48,1279.74,100.02,1763167843.082523
envA,cuda,resnet50,128,49,1267.25,101.01,1763167844.3501031
envA,cuda,resnet50,128,50,1272.46,100.59,1763167845.6229377
envA,cuda,resnet50,128,51,429.63,297.93,1763167846.909379
envA,cuda,resnet50,128,52,1262.76,101.37,1763167848.1744332
envA,cuda,resnet50,128,53,1275.32,100.37,1763167849.4501543
envA,cuda,resnet50,128,54,1282.22,99.83,1763167850.7327614
envA,cuda,resnet50,128,55,1265.34,101.16,1763167851.9991782
envA,cuda,resnet50,128,56,1284.97,99.61,1763167853.2843573
envA,cuda,resnet50,128,57,1271.25,100.69,1763167854.5559402
envA,cuda,resnet50,128,58,1269.51,100.83,1763167855.8257234
envA,cuda,resnet50,128,59,1272.37,100.60,1763167857.0982964
envA,cuda,resnet50,128,60,1274.16,100.46,1763167858.3727033
envA,cuda,resnet50,128,61,418.47,305.88,1763167859.647882
envA,cuda,resnet50,128,62,1275.45,100.36,1763167860.923526
envA,cuda,resnet50,128,63,1294.87,98.85,1763167862.218608
